date,Can I delete FB acount and all of my posts.,how to delete a facebook account
2011-01-01,0,81
2011-02-01,0,61
2011-03-01,0,56
2011-04-01,0,54
2011-05-01,0,60
2011-06-01,0,63
2011-07-01,0,74
2011-08-01,0,85
2011-09-01,0,82
2011-10-01,0,89
2011-11-01,0,100
2011-12-01,0,94
2012-01-01,0,98
2012-02-01,0,96
2012-03-01,0,98
2012-04-01,0,66
2012-05-01,0,64
2012-06-01,0,72
2012-07-01,0,95
2012-08-01,0,89
2012-09-01,0,72
2012-10-01,0,59
2012-11-01,0,80
2012-12-01,0,86
2013-01-01,0,73
2013-02-01,0,64
2013-03-01,0,74
2013-04-01,0,75
2013-05-01,0,57
2013-06-01,0,58
2013-07-01,0,72
2013-08-01,0,70
2013-09-01,0,51
2013-10-01,0,55
2013-11-01,0,61
2013-12-01,0,75
2014-01-01,0,66
2014-02-01,0,49
2014-03-01,0,50
2014-04-01,0,60
2014-05-01,0,64
2014-06-01,0,58
2014-07-01,0,54
2014-08-01,0,59
2014-09-01,0,62
2014-10-01,0,56
2014-11-01,0,56
2014-12-01,0,59
2015-01-01,0,62
2015-02-01,0,60
2015-03-01,0,60
2015-04-01,0,68
2015-05-01,0,55
2015-06-01,0,52
2015-07-01,0,66
2015-08-01,0,74
2015-09-01,0,58
2015-10-01,0,46
2015-11-01,0,46
2015-12-01,0,51
2016-01-01,0,64
2016-02-01,0,61
2016-03-01,0,51
2016-04-01,0,50
2016-05-01,0,52
2016-06-01,0,77
2016-07-01,0,73
2016-08-01,0,57
2016-09-01,0,58
2016-10-01,0,59
2016-11-01,0,71
2016-12-01,0,62
2017-01-01,0,64
