date,deleting fb account,how to delete a facebook account
2011-01-01,1,81
2011-02-01,1,61
2011-03-01,0,56
2011-04-01,1,54
2011-05-01,1,60
2011-06-01,1,63
2011-07-01,1,74
2011-08-01,1,85
2011-09-01,1,82
2011-10-01,1,89
2011-11-01,1,100
2011-12-01,1,94
2012-01-01,1,98
2012-02-01,1,96
2012-03-01,0,98
2012-04-01,1,66
2012-05-01,1,64
2012-06-01,1,72
2012-07-01,1,95
2012-08-01,1,89
2012-09-01,1,72
2012-10-01,1,59
2012-11-01,1,80
2012-12-01,1,86
2013-01-01,1,73
2013-02-01,1,64
2013-03-01,1,74
2013-04-01,1,75
2013-05-01,2,57
2013-06-01,1,58
2013-07-01,1,72
2013-08-01,1,70
2013-09-01,1,51
2013-10-01,2,55
2013-11-01,2,61
2013-12-01,1,75
2014-01-01,2,66
2014-02-01,1,49
2014-03-01,1,50
2014-04-01,1,60
2014-05-01,2,64
2014-06-01,1,58
2014-07-01,2,54
2014-08-01,1,59
2014-09-01,2,62
2014-10-01,1,56
2014-11-01,1,56
2014-12-01,1,59
2015-01-01,1,62
2015-02-01,2,60
2015-03-01,2,60
2015-04-01,1,68
2015-05-01,1,55
2015-06-01,2,52
2015-07-01,2,66
2015-08-01,1,74
2015-09-01,2,58
2015-10-01,2,46
2015-11-01,1,46
2015-12-01,1,51
2016-01-01,1,64
2016-02-01,2,61
2016-03-01,2,51
2016-04-01,2,50
2016-05-01,2,52
2016-06-01,2,77
2016-07-01,2,73
2016-08-01,2,57
2016-09-01,2,58
2016-10-01,2,59
2016-11-01,3,71
2016-12-01,2,62
2017-01-01,2,64
