date,facebook delete,how to delete facebook
2011-01-01,66,36
2011-02-01,62,34
2011-03-01,57,33
2011-04-01,62,35
2011-05-01,63,35
2011-06-01,69,38
2011-07-01,75,43
2011-08-01,87,51
2011-09-01,86,50
2011-10-01,87,50
2011-11-01,90,53
2011-12-01,99,59
2012-01-01,100,58
2012-02-01,99,59
2012-03-01,97,58
2012-04-01,90,53
2012-05-01,84,50
2012-06-01,87,50
2012-07-01,87,49
2012-08-01,93,53
2012-09-01,91,52
2012-10-01,81,46
2012-11-01,75,42
2012-12-01,84,47
2013-01-01,82,46
2013-02-01,76,42
2013-03-01,72,39
2013-04-01,69,38
2013-05-01,64,35
2013-06-01,65,36
2013-07-01,66,37
2013-08-01,66,36
2013-09-01,62,34
2013-10-01,60,33
2013-11-01,59,31
2013-12-01,60,33
2014-01-01,65,35
2014-02-01,61,32
2014-03-01,59,31
2014-04-01,60,31
2014-05-01,60,31
2014-06-01,62,34
2014-07-01,65,34
2014-08-01,68,37
2014-09-01,62,34
2014-10-01,57,31
2014-11-01,55,29
2014-12-01,59,31
2015-01-01,60,32
2015-02-01,56,30
2015-03-01,55,29
2015-04-01,55,28
2015-05-01,56,30
2015-06-01,59,31
2015-07-01,62,33
2015-08-01,60,32
2015-09-01,56,29
2015-10-01,55,30
2015-11-01,55,28
2015-12-01,56,30
2016-01-01,59,31
2016-02-01,55,28
2016-03-01,55,29
2016-04-01,57,30
2016-05-01,56,30
2016-06-01,62,32
2016-07-01,65,33
2016-08-01,62,32
2016-09-01,61,31
2016-10-01,59,31
2016-11-01,62,32
2016-12-01,60,31
2017-01-01,65,33
