date,how do I delete facebook,how to delete facebook
2011-01-01,8,61
2011-02-01,7,56
2011-03-01,7,55
2011-04-01,7,58
2011-05-01,8,60
2011-06-01,8,65
2011-07-01,8,72
2011-08-01,10,86
2011-09-01,10,85
2011-10-01,10,85
2011-11-01,11,91
2011-12-01,13,100
2012-01-01,13,97
2012-02-01,13,99
2012-03-01,12,97
2012-04-01,11,90
2012-05-01,10,84
2012-06-01,10,85
2012-07-01,10,82
2012-08-01,12,89
2012-09-01,13,88
2012-10-01,11,77
2012-11-01,10,72
2012-12-01,10,79
2013-01-01,11,77
2013-02-01,11,71
2013-03-01,9,66
2013-04-01,8,64
2013-05-01,8,60
2013-06-01,8,61
2013-07-01,8,61
2013-08-01,8,62
2013-09-01,7,58
2013-10-01,7,56
2013-11-01,7,53
2013-12-01,8,56
2014-01-01,8,59
2014-02-01,7,55
2014-03-01,7,53
2014-04-01,7,52
2014-05-01,7,53
2014-06-01,7,56
2014-07-01,7,58
2014-08-01,8,62
2014-09-01,7,56
2014-10-01,6,52
2014-11-01,6,50
2014-12-01,6,53
2015-01-01,6,54
2015-02-01,6,51
2015-03-01,6,49
2015-04-01,6,48
2015-05-01,6,50
2015-06-01,6,54
2015-07-01,7,56
2015-08-01,7,54
2015-09-01,6,50
2015-10-01,6,49
2015-11-01,6,48
2015-12-01,6,50
2016-01-01,7,53
2016-02-01,6,48
2016-03-01,6,49
2016-04-01,6,51
2016-05-01,6,51
2016-06-01,7,54
2016-07-01,7,57
2016-08-01,7,53
2016-09-01,6,53
2016-10-01,6,53
2016-11-01,6,55
2016-12-01,6,51
2017-01-01,7,57
