date,epic privacy browser review,most private browser
2011-01-01,0,21
2011-02-01,0,55
2011-03-01,0,40
2011-04-01,0,40
2011-05-01,0,40
2011-06-01,0,21
2011-07-01,0,27
2011-08-01,0,38
2011-09-01,0,37
2011-10-01,0,71
2011-11-01,0,18
2011-12-01,0,70
2012-01-01,0,59
2012-02-01,0,61
2012-03-01,0,58
2012-04-01,0,49
2012-05-01,0,31
2012-06-01,0,21
2012-07-01,0,42
2012-08-01,0,46
2012-09-01,0,23
2012-10-01,0,47
2012-11-01,0,14
2012-12-01,0,66
2013-01-01,0,43
2013-02-01,0,47
2013-03-01,0,42
2013-04-01,0,47
2013-05-01,0,41
2013-06-01,0,51
2013-07-01,0,80
2013-08-01,0,67
2013-09-01,12,29
2013-10-01,23,50
2013-11-01,16,55
2013-12-01,16,92
2014-01-01,22,55
2014-02-01,24,56
2014-03-01,16,51
2014-04-01,11,41
2014-05-01,34,80
2014-06-01,13,59
2014-07-01,18,66
2014-08-01,49,74
2014-09-01,24,94
2014-10-01,23,63
2014-11-01,23,61
2014-12-01,11,86
2015-01-01,11,70
2015-02-01,11,49
2015-03-01,26,42
2015-04-01,14,82
2015-05-01,41,66
2015-06-01,27,64
2015-07-01,16,77
2015-08-01,16,100
2015-09-01,10,81
2015-10-01,16,68
2015-11-01,10,82
2015-12-01,10,93
2016-01-01,9,60
2016-02-01,19,66
2016-03-01,9,64
2016-04-01,18,67
2016-05-01,13,94
2016-06-01,24,85
2016-07-01,21,83
2016-08-01,24,63
2016-09-01,27,77
2016-10-01,31,79
2016-11-01,34,65
2016-12-01,11,85
2017-01-01,32,97
