date,Facebook Settings,how to change facebook privacy settings
2011-01-01,58,1
2011-02-01,60,1
2011-03-01,57,1
2011-04-01,58,0
2011-05-01,56,1
2011-06-01,62,1
2011-07-01,81,1
2011-08-01,80,1
2011-09-01,100,3
2011-10-01,78,3
2011-11-01,72,2
2011-12-01,74,2
2012-01-01,70,2
2012-02-01,67,2
2012-03-01,60,2
2012-04-01,61,2
2012-05-01,62,2
2012-06-01,64,2
2012-07-01,64,2
2012-08-01,67,2
2012-09-01,91,4
2012-10-01,80,3
2012-11-01,76,3
2012-12-01,91,2
2013-01-01,81,2
2013-02-01,79,2
2013-03-01,75,2
2013-04-01,64,2
2013-05-01,67,2
2013-06-01,65,2
2013-07-01,70,2
2013-08-01,65,2
2013-09-01,63,2
2013-10-01,66,2
2013-11-01,56,2
2013-12-01,56,1
2014-01-01,56,2
2014-02-01,55,1
2014-03-01,52,1
2014-04-01,55,2
2014-05-01,54,1
2014-06-01,52,2
2014-07-01,55,1
2014-08-01,60,2
2014-09-01,58,1
2014-10-01,54,2
2014-11-01,50,1
2014-12-01,52,1
2015-01-01,54,1
2015-02-01,50,1
2015-03-01,46,1
2015-04-01,47,1
2015-05-01,48,1
2015-06-01,50,1
2015-07-01,48,1
2015-08-01,51,1
2015-09-01,54,1
2015-10-01,48,1
2015-11-01,46,1
2015-12-01,48,1
2016-01-01,48,1
2016-02-01,45,1
2016-03-01,47,1
2016-04-01,53,1
2016-05-01,48,1
2016-06-01,51,1
2016-07-01,50,1
2016-08-01,48,1
2016-09-01,48,1
2016-10-01,45,1
2016-11-01,45,1
2016-12-01,46,1
2017-01-01,46,1
