date,Change Privacy Facebook,how to change facebook privacy settings
2011-01-01,8,2
2011-02-01,7,3
2011-03-01,7,2
2011-04-01,7,1
2011-05-01,8,2
2011-06-01,7,3
2011-07-01,8,2
2011-08-01,11,3
2011-09-01,20,8
2011-10-01,17,8
2011-11-01,16,6
2011-12-01,16,6
2012-01-01,15,5
2012-02-01,15,6
2012-03-01,13,5
2012-04-01,13,5
2012-05-01,15,5
2012-06-01,16,5
2012-07-01,14,5
2012-08-01,22,7
2012-09-01,29,11
2012-10-01,26,9
2012-11-01,21,8
2012-12-01,21,7
2013-01-01,18,6
2013-02-01,16,7
2013-03-01,18,5
2013-04-01,15,5
2013-05-01,14,5
2013-06-01,16,5
2013-07-01,18,6
2013-08-01,18,5
2013-09-01,17,5
2013-10-01,24,6
2013-11-01,16,5
2013-12-01,15,4
2014-01-01,16,5
2014-02-01,14,4
2014-03-01,15,4
2014-04-01,15,4
2014-05-01,15,4
2014-06-01,16,4
2014-07-01,14,4
2014-08-01,16,5
2014-09-01,14,4
2014-10-01,14,5
2014-11-01,14,4
2014-12-01,15,3
2015-01-01,29,4
2015-02-01,13,4
2015-03-01,12,3
2015-04-01,14,3
2015-05-01,15,4
2015-06-01,14,4
2015-07-01,13,4
2015-08-01,14,3
2015-09-01,42,3
2015-10-01,15,3
2015-11-01,13,3
2015-12-01,12,4
2016-01-01,13,4
2016-02-01,11,4
2016-03-01,11,3
2016-04-01,13,3
2016-05-01,11,3
2016-06-01,26,4
2016-07-01,28,4
2016-08-01,13,4
2016-09-01,13,3
2016-10-01,100,3
2016-11-01,12,3
2016-12-01,12,3
2017-01-01,14,3
