date,facebook private,how to change facebook privacy settings
2011-01-01,78,0
2011-02-01,73,0
2011-03-01,68,0
2011-04-01,74,0
2011-05-01,69,0
2011-06-01,75,0
2011-07-01,80,0
2011-08-01,81,0
2011-09-01,86,1
2011-10-01,76,1
2011-11-01,76,1
2011-12-01,78,1
2012-01-01,78,1
2012-02-01,73,1
2012-03-01,68,1
2012-04-01,67,1
2012-05-01,65,1
2012-06-01,66,1
2012-07-01,69,1
2012-08-01,75,1
2012-09-01,100,2
2012-10-01,96,2
2012-11-01,75,1
2012-12-01,75,1
2013-01-01,78,1
2013-02-01,72,1
2013-03-01,69,1
2013-04-01,70,1
2013-05-01,68,1
2013-06-01,70,1
2013-07-01,71,1
2013-08-01,70,1
2013-09-01,67,1
2013-10-01,62,1
2013-11-01,60,1
2013-12-01,58,1
2014-01-01,64,1
2014-02-01,61,1
2014-03-01,59,1
2014-04-01,59,1
2014-05-01,59,1
2014-06-01,61,1
2014-07-01,61,1
2014-08-01,62,1
2014-09-01,60,1
2014-10-01,54,1
2014-11-01,53,1
2014-12-01,53,1
2015-01-01,55,1
2015-02-01,54,1
2015-03-01,51,1
2015-04-01,53,1
2015-05-01,55,1
2015-06-01,55,1
2015-07-01,56,1
2015-08-01,56,1
2015-09-01,70,1
2015-10-01,54,1
2015-11-01,51,1
2015-12-01,52,1
2016-01-01,57,1
2016-02-01,52,1
2016-03-01,52,0
2016-04-01,53,0
2016-05-01,53,1
2016-06-01,54,1
2016-07-01,55,1
2016-08-01,55,1
2016-09-01,54,1
2016-10-01,52,1
2016-11-01,50,1
2016-12-01,47,0
2017-01-01,51,1
