date,Get rid of Instagram,delete account instagram
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,1
2011-08-01,0,1
2011-09-01,0,1
2011-10-01,0,1
2011-11-01,0,1
2011-12-01,0,2
2012-01-01,0,3
2012-02-01,1,3
2012-03-01,1,4
2012-04-01,1,13
2012-05-01,2,11
2012-06-01,2,13
2012-07-01,2,15
2012-08-01,3,14
2012-09-01,2,14
2012-10-01,3,15
2012-11-01,3,15
2012-12-01,3,30
2013-01-01,3,33
2013-02-01,4,34
2013-03-01,4,21
2013-04-01,5,20
2013-05-01,5,24
2013-06-01,6,35
2013-07-01,7,25
2013-08-01,6,25
2013-09-01,5,23
2013-10-01,4,24
2013-11-01,5,20
2013-12-01,5,20
2014-01-01,5,27
2014-02-01,5,34
2014-03-01,5,29
2014-04-01,6,26
2014-05-01,5,25
2014-06-01,6,39
2014-07-01,7,41
2014-08-01,6,32
2014-09-01,6,24
2014-10-01,6,25
2014-11-01,6,34
2014-12-01,6,40
2015-01-01,6,40
2015-02-01,6,34
2015-03-01,5,33
2015-04-01,6,37
2015-05-01,6,39
2015-06-01,6,42
2015-07-01,7,53
2015-08-01,6,60
2015-09-01,6,58
2015-10-01,6,52
2015-11-01,6,49
2015-12-01,7,54
2016-01-01,8,64
2016-02-01,6,74
2016-03-01,7,63
2016-04-01,8,58
2016-05-01,7,64
2016-06-01,8,90
2016-07-01,8,96
2016-08-01,8,71
2016-09-01,7,69
2016-10-01,8,84
2016-11-01,10,100
2016-12-01,10,89
2017-01-01,10,91
