date,Youtube Privacy Policy for Youtube app,privacy policy youtube
2011-01-01,0,18
2011-02-01,0,21
2011-03-01,0,9
2011-04-01,0,17
2011-05-01,0,15
2011-06-01,0,19
2011-07-01,0,13
2011-08-01,0,18
2011-09-01,0,21
2011-10-01,0,17
2011-11-01,0,24
2011-12-01,0,17
2012-01-01,0,84
2012-02-01,0,100
2012-03-01,0,100
2012-04-01,0,30
2012-05-01,0,24
2012-06-01,0,17
2012-07-01,0,23
2012-08-01,0,26
2012-09-01,0,21
2012-10-01,0,31
2012-11-01,0,26
2012-12-01,0,21
2013-01-01,0,18
2013-02-01,0,15
2013-03-01,0,31
2013-04-01,0,20
2013-05-01,0,20
2013-06-01,0,24
2013-07-01,0,23
2013-08-01,0,27
2013-09-01,0,38
2013-10-01,0,34
2013-11-01,0,24
2013-12-01,0,32
2014-01-01,0,31
2014-02-01,0,30
2014-03-01,0,25
2014-04-01,0,23
2014-05-01,0,29
2014-06-01,0,15
2014-07-01,0,22
2014-08-01,0,26
2014-09-01,0,26
2014-10-01,0,25
2014-11-01,0,29
2014-12-01,0,24
2015-01-01,0,27
2015-02-01,0,30
2015-03-01,0,25
2015-04-01,0,18
2015-05-01,0,28
2015-06-01,0,27
2015-07-01,0,27
2015-08-01,0,29
2015-09-01,0,45
2015-10-01,0,30
2015-11-01,0,34
2015-12-01,0,35
2016-01-01,0,31
2016-02-01,0,40
2016-03-01,0,40
2016-04-01,0,32
2016-05-01,0,26
2016-06-01,0,27
2016-07-01,0,41
2016-08-01,0,35
2016-09-01,0,47
2016-10-01,0,40
2016-11-01,0,37
2016-12-01,0,34
2017-01-01,0,36
