date,how to get rid of snapchat,how to delete snapchat
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,1
2012-10-01,0,2
2012-11-01,0,5
2012-12-01,0,7
2013-01-01,0,6
2013-02-01,0,5
2013-03-01,0,6
2013-04-01,1,11
2013-05-01,1,14
2013-06-01,1,18
2013-07-01,1,17
2013-08-01,2,15
2013-09-01,2,14
2013-10-01,3,31
2013-11-01,2,27
2013-12-01,3,34
2014-01-01,4,48
2014-02-01,3,34
2014-03-01,3,36
2014-04-01,3,38
2014-05-01,6,100
2014-06-01,4,51
2014-07-01,4,44
2014-08-01,4,41
2014-09-01,4,44
2014-10-01,4,43
2014-11-01,3,47
2014-12-01,4,54
2015-01-01,5,64
2015-02-01,3,58
2015-03-01,3,49
2015-04-01,5,51
2015-05-01,4,51
2015-06-01,4,59
2015-07-01,5,63
2015-08-01,4,52
2015-09-01,6,48
2015-10-01,4,43
2015-11-01,4,41
2015-12-01,4,44
2016-01-01,4,47
2016-02-01,4,46
2016-03-01,5,53
2016-04-01,5,57
2016-05-01,5,57
2016-06-01,6,65
2016-07-01,7,73
2016-08-01,6,63
2016-09-01,6,55
2016-10-01,6,58
2016-11-01,5,55
2016-12-01,6,64
2017-01-01,6,64
